seed_idx,sim_seed,split_seed,method,metric,value
3,23260523,333,B3_length,w20r,34.5945945945946
3,23260523,333,B4_ridge_hand,mae,2016.7135135135136
3,23260523,333,B4_ridge_hand,mape,19.312498118851202
3,23260523,333,B4_ridge_hand,w20r,62.16216216216216
3,23260523,333,B5_rf_hand,mae,1790.5297297297298
3,23260523,333,B5_rf_hand,mape,15.833421057278912
3,23260523,333,B5_rf_hand,w20r,69.72972972972973
3,23260523,333,B6_histgb_hand,mae,1779.8864864864865
3,23260523,333,B6_histgb_hand,mape,15.790202747907092
3,23260523,333,B6_histgb_hand,w20r,70.27027027027027
3,23260523,333,B7_ridge_tfidf,mae,1902.664864864865
3,23260523,333,B7_ridge_tfidf,mape,18.247805179108948
3,23260523,333,B7_ridge_tfidf,w20r,62.70270270270271
3,23260523,333,B8_histgb_tfidf,mae,2101.827027027027
3,23260523,333,B8_histgb_tfidf,mape,19.589144812964744
3,23260523,333,B8_histgb_tfidf,w20r,61.08108108108108
3,23260523,333,TABF_heuristic,mae,2394.7081081081083
3,23260523,333,TABF_heuristic,mape,17.769632776808102
3,23260523,333,TABF_heuristic,w20r,64.32432432432432
3,23260523,333,TABF_gbt,mae,1797.4
3,23260523,333,TABF_gbt,mape,15.914903342439606
3,23260523,333,TABF_gbt,w20r,69.72972972972973
4,24260526,430,B1_uniform,mae,4918.167567567568
4,24260526,430,B1_uniform,mape,53.761791108235215
4,24260526,430,B1_uniform,w20r,23.243243243243246
4,24260526,430,B2_type_only,mae,5123.156756756757
4,24260526,430,B2_type_only,mape,36.8049904627763
4,24260526,430,B2_type_only,w20r,30.810810810810814
4,24260526,430,B3_length,mae,4014.0756756756755
4,24260526,430,B3_length,mape,36.954778938466234
4,24260526,430,B3_length,w20r,34.5945945945946
4,24260526,430,B4_ridge_hand,mae,2418.9189189189187
4,24260526,430,B4_ridge_hand,mape,22.287127106669736
4,24260526,430,B4_ridge_hand,w20r,52.43243243243243
4,24260526,430,B5_rf_hand,mae,2062.7405405405407
4,24260526,430,B5_rf_hand,mape,16.730442809013915
4,24260526,430,B5_rf_hand,w20r,65.4054054054054
4,24260526,430,B6_histgb_hand,mae,2037.9405405405405
4,24260526,430,B6_histgb_hand,mape,16.47273966603286
4,24260526,430,B6_histgb_hand,w20r,67.02702702702703
4,24260526,430,B7_ridge_tfidf,mae,2233.8756756756757
4,24260526,430,B7_ridge_tfidf,mape,19.33835530605984
4,24260526,430,B7_ridge_tfidf,w20r,60.0
4,24260526,430,B8_histgb_tfidf,mae,2516.3783783783783
4,24260526,430,B8_histgb_tfidf,mape,22.851501399163745
4,24260526,430,B8_histgb_tfidf,w20r,56.75675675675676
4,24260526,430,TABF_heuristic,mae,2799.67027027027
4,24260526,430,TABF_heuristic,mape,19.063174844209723
4,24260526,430,TABF_heuristic,w20r,64.86486486486487
4,24260526,430,TABF_gbt,mae,2044.535135135135
4,24260526,430,TABF_gbt,mape,16.490335810084485
4,24260526,430,TABF_gbt,w20r,65.94594594594595
